artist,title,date
"""Josh Ritter""","""Change of Time""",2022-12-27T14:52:27.420213
"""Umphrey's McGee""","""Nemo""",2022-12-27T14:52:27.421211
"""New Sound Underground""","""Once More, For Love""",2022-12-27T14:52:27.423232
"""Wild Belle""","""Shine""",2022-12-27T14:52:27.424203
"""Karen Elson""","""The Ghost Who Walks""",2022-12-27T14:52:27.426231
"""Amadou and Mariam""","""Baro""",2022-12-27T14:52:27.427222
"""Jamie Kent""","""Broke, Not Broken""",2022-12-27T14:52:27.428204
"""Telekinesis""","""Coast of Carolina""",2022-12-27T14:52:27.430214
"""Alaska in Winter""","""Close Your Eyes, We Are Blind""",2022-12-27T14:52:27.431207
"""Scott H. Biram""","""Victory Song""",2022-12-27T14:52:27.458143
"""Motopony""","""Seer""",2022-12-27T14:52:27.460133
"""Mirah""","""24th St.""",2022-12-27T14:52:27.462132
"""A Band Called Quinn""","""Snowbus""",2022-12-27T14:52:27.463135
"""The O'Neill Brothers""","""Ave Maria""",2022-12-27T14:52:27.465125
"""Sean McCann""","""Peace Among The Bones""",2022-12-27T14:52:27.466119
"""Speck Mountain""","""Some Sweet Relief""",2022-12-27T14:52:27.467097
"""Yarn""","""The Truth of my Sweet Anna Lee""",2022-12-27T14:52:27.470083
"""Thao""","""Bag of Hammers""",2022-12-27T14:52:27.472074
"""School of Seven Bells""","""The Night""",2022-12-27T14:52:27.474068
"""BoDeans""","""All The World""",2022-12-27T14:52:27.477060
"""Clem Snide""","""Denise""",2022-12-27T14:52:27.479055
"""Redd Kross""","""Stay Away From Downtown""",2022-12-27T14:52:27.508975
"""The Mountain Goats""","""The Legend of Chavo Guerrero""",2022-12-27T14:52:27.510971
"""Joel Plaskett Emergency""","""Harbour Boys""",2022-12-27T14:52:27.536906
"""Doug Paisley""","""Song My Love Can Sing""",2022-12-27T14:52:27.539928
"""Ben Harper & the Innocent Criminals""","""Shine""",2022-12-27T14:52:27.541923
"""Nomade Orquestra""","""Estrada para Camomila""",2022-12-27T14:52:27.544879
"""Shabazz Palaces""","""Motion Sickness""",2022-12-27T14:52:27.548870
"""The Earaches""","""Not the Kind of Man I Am""",2022-12-27T14:52:27.550865
"""Magnolia Mountain""","""Gone""",2022-12-27T14:52:27.553887
"""A Fine Frenzy""","""The Minnow & The""",2022-12-27T14:52:27.554853
"""Deer Tick""","""Easy""",2022-12-27T14:52:27.555882
"""Ume""","""Sunshower""",2022-12-27T14:52:27.557872
"""Duke Garwood""","""Heavy Love""",2022-12-27T14:52:27.595745
"""The Sanco Loop""","""Hot Year""",2022-12-27T14:52:27.597739
"""Laura Veirs""","""Watch Fire (ft. Sufjan Stevens)""",2022-12-27T14:52:27.600731
"""Bonobo""","""Bambro Koyo Ganda (feat. Innov Gnawa)""",2022-12-27T14:52:27.604729
"""Real Tuesday Weld""","""Last Words""",2022-12-27T14:52:27.606750
"""Ganglians""","""Cryin' Smoke""",2022-12-27T14:52:27.608736
"""Ten Fe""","""Won't Happen""",2022-12-27T14:52:27.609734
"""Lusine""","""Two Dots""",2022-12-27T14:52:27.611701
"""Fink""","""Warm Shadow""",2022-12-27T14:52:27.614692
"""Still Corners""","""Fireflies""",2022-12-27T14:52:27.616687
"""Elaine Faye""","""X's & O's""",2022-12-27T14:52:27.618683
"""Frightened Rabbit""","""Swim Until You Can't See Land""",2022-12-27T14:52:27.619680
"""Tea""","""Ibiza""",2022-12-27T14:52:27.621675
"""Benji Hughes""","""Freaky Feedback Blues""",2022-12-27T14:52:27.624667
"""Fleet Foxes""","""White Winter Hymnal""",2022-12-27T14:52:27.626688
"""Sonny & The Sunsets""","""Palmreader""",2022-12-27T14:52:27.629654
"""Cody ChesnuTT""","""That's Still Mama""",2022-12-27T14:52:27.630651
"""Chenoah Lee""","""Inferno""",2022-12-27T14:52:27.632646
"""Silversun Pickups""","""Nightlight""",2022-12-27T14:52:27.634640
"""The BoDeans""","""Fadeaway""",2022-12-27T14:52:27.637633
"""Zoe Muth and The Lost High Rollers""","""You Only Believe Me When I'm Lying""",2022-12-27T14:52:27.639634
"""Jesse Sykes and the Sweet Hereafter""","""Come to Mary""",2022-12-27T14:52:27.641622
"""Raina Rose""","""Secret""",2022-12-27T14:52:27.645611
"""Jamestown Revival""","""California (Cast Iron Soul)""",2022-12-27T14:52:27.647614
"""Hollow Coats""","""Fold""",2022-12-27T14:52:27.649601
"""The Famous""","""Moving On""",2022-12-27T14:52:27.651594
"""Arborea""","""A Little Time""",2022-12-27T14:52:27.679521
"""Shana Cleveland & The Sandcastles""","""Holy Rollers""",2022-12-27T14:52:27.681515
"""Grupo Fantasma""","""Cayuco""",2022-12-27T14:52:27.684507
"""Alejandro Escovedo & Ian McLagan""","""I’m Not Like Everybody Else""",2022-12-27T14:52:27.690490
"""Dan Auerbach""","""Heartbroken in Disrepair""",2022-12-27T14:52:27.692484
"""Bora York""","""Close Your Eyes""",2022-12-27T14:52:27.694480
"""Fared Shafinury""","""Rio Grande""",2022-12-27T14:52:27.695477
"""Retro Stefson""","""Kimba""",2022-12-27T14:52:27.729385
"""The Walkmen""","""Heaven""",2022-12-27T14:52:27.757312
"""Ola Podrida""","""The Closest We Will Ever Be""",2022-12-27T14:52:27.759306
"""Taylor Baker""","""Beckoning Moon""",2022-12-27T14:52:27.763295
"""Bebel Gilberto""","""Ela (On My Way)""",2022-12-27T14:52:27.764305
"""The Jefferson""","""Tell Me Your Name""",2022-12-27T14:52:27.766288
"""Ray LaMontagne""","""For the Summer""",2022-12-27T14:52:27.769290
"""Cast Spells""","""Glamorous Glowing""",2022-12-27T14:52:27.772278
"""Aloe Blacc""","""You Make Me Smile""",2022-12-27T14:52:27.773289
"""The Fire Apes""","""It's Over""",2022-12-27T14:52:27.779253
"""Final Spins""","""Let Me Fall""",2022-12-27T14:52:27.781248
"""Beach Baby""","""Ladybird""",2022-12-27T14:52:27.783243
"""Damien Jurado""","""Silver Donna""",2022-12-27T14:52:27.784241
"""Eels""","""Where I'm From""",2022-12-27T14:52:27.786234
"""Erin Ivey""","""Tricks""",2022-12-27T14:52:27.787231
"""Delta Spirit""","""Bushwick Blues""",2022-12-27T14:52:27.789226
"""Alan Andrews""","""Phony French""",2022-12-27T14:52:27.790224
"""Desert Stars""","""With The Bears""",2022-12-27T14:52:27.792217
"""Harouki Zombi""","""Objet Petit A""",2022-12-27T14:52:27.793215
"""Jade Jackson""","""Good Time Gone""",2022-12-27T14:52:27.795209
"""Hacienda""","""You’re My Girl""",2022-12-27T14:52:27.797204
"""Shakey Graves""","""Dearly Departed""",2022-12-27T14:52:27.801193
"""Forro In The Dark""","""Perro Loco""",2022-12-27T14:52:27.804198
"""About Group""","""Don't Worry""",2022-12-27T14:52:27.806192
"""Yellow Ostrich""","""Whale""",2022-12-27T14:52:27.808176
"""Kopecky Family Band""","""Animal""",2022-12-27T14:52:27.810170
"""Carl Broemel""","""Sleepy Lagoon""",2022-12-27T14:52:27.814160
"""Júníus Meyvant""","""Hailslide""",2022-12-27T14:52:27.839093
"""David Wax Museum""","""Harder Before It Gets Easier (Live)""",2022-12-27T14:52:27.843086
"""Sera Cahoone""","""Deer Creek Canyon""",2022-12-27T14:52:27.844079
"""Steve Earle""","""Go Go Boots Are Back""",2022-12-27T14:52:27.846074
"""American Scarecrows""","""Gods of the West""",2022-12-27T14:52:27.847071
"""The Tallest Man on Earth""","""Like The Wheel""",2022-12-27T14:52:27.849067
"""Mia Doi Todd""","""Sleepless Nights""",2022-12-27T14:52:27.850063
"""The Cute Lepers""","""It's Summertime, Baby""",2022-12-27T14:52:27.852057
"""Science for Girls""","""14 Days""",2022-12-27T14:52:27.853055
"""Taken By Trees""","""Dreams""",2022-12-27T14:52:27.854064
