artist,title,date
"""Ume""","""Sunshower""",2023-01-01T17:32:09.272897
"""Duke Garwood""","""Heavy Love""",2023-01-01T17:32:09.630924
"""The Sanco Loop""","""Hot Year""",2023-01-01T17:32:11.165789
"""Laura Veirs""","""Watch Fire (ft. Sufjan Stevens)""",2023-01-01T17:32:12.694755
"""Bonobo""","""Bambro Koyo Ganda (feat. Innov Gnawa)""",2023-01-01T17:32:12.736656
"""Real Tuesday Weld""","""Last Words""",2023-01-01T17:32:14.250666
"""Ganglians""","""Cryin' Smoke""",2023-01-01T17:32:14.274585
"""Ten Fe""","""Won't Happen""",2023-01-01T17:32:15.794520
"""Lusine""","""Two Dots""",2023-01-01T17:32:17.305481
"""Fink""","""Warm Shadow""",2023-01-01T17:32:18.830406
"""Still Corners""","""Fireflies""",2023-01-01T17:32:20.329395
"""Elaine Faye""","""X's & O's""",2023-01-01T17:32:20.351337
"""Frightened Rabbit""","""Swim Until You Can't See Land""",2023-01-01T17:32:21.853289
"""Tea""","""Ibiza""",2023-01-01T17:32:21.878222
"""Benji Hughes""","""Freaky Feedback Blues""",2023-01-01T17:32:23.405140
"""Fleet Foxes""","""White Winter Hymnal""",2023-01-01T17:32:24.919123
"""Sonny & The Sunsets""","""Palmreader""",2023-01-01T17:32:26.441055
"""Cody ChesnuTT""","""That's Still Mama""",2023-01-01T17:32:27.957971
"""Chenoah Lee""","""Inferno""",2023-01-01T17:32:29.470932
"""Silversun Pickups""","""Nightlight""",2023-01-01T17:32:29.492893
"""The BoDeans""","""Fadeaway""",2023-01-01T17:32:31.007840
"""Zoe Muth and The Lost High Rollers""","""You Only Believe Me When I'm Lying""",2023-01-01T17:32:31.030800
"""Jesse Sykes and the Sweet Hereafter""","""Come to Mary""",2023-01-01T17:32:32.544730
"""Raina Rose""","""Secret""",2023-01-01T17:32:34.082617
"""Jamestown Revival""","""California (Cast Iron Soul)""",2023-01-01T17:32:35.598534
"""Hollow Coats""","""Fold""",2023-01-01T17:32:37.109546
"""The Famous""","""Moving On""",2023-01-01T17:32:38.617463
"""Arborea""","""A Little Time""",2023-01-01T17:32:40.495439
"""Shana Cleveland & The Sandcastles""","""Holy Rollers""",2023-01-01T17:32:42.013383
"""Grupo Fantasma""","""Cayuco""",2023-01-01T17:32:43.549465
"""Alejandro Escovedo & Ian McLagan""","""I’m Not Like Everybody Else""",2023-01-01T17:32:45.079375
"""Dan Auerbach""","""Heartbroken in Disrepair""",2023-01-01T17:32:46.601337
"""Bora York""","""Close Your Eyes""",2023-01-01T17:32:46.622280
"""Fared Shafinury""","""Rio Grande""",2023-01-01T17:32:48.133273
"""Retro Stefson""","""Kimba""",2023-01-01T17:32:49.981331
"""The Walkmen""","""Heaven""",2023-01-01T17:32:51.834405
"""Ola Podrida""","""The Closest We Will Ever Be""",2023-01-01T17:32:53.347329
"""Taylor Baker""","""Beckoning Moon""",2023-01-01T17:32:53.378247
"""Bebel Gilberto""","""Ela (On My Way)""",2023-01-01T17:32:54.894278
"""The Jefferson""","""Tell Me Your Name""",2023-01-01T17:32:56.545036
"""Ray LaMontagne""","""For the Summer""",2023-01-01T17:32:58.054997
